img,title,company,rating,review,location,experience
https://static.ambitionbox.com/alpha/company/photos/logos/invedus.jpg,Data Scientist - Python/Datamart (3-6 yrs),Invedus Outsourcing Pvt. Ltd,4.8,9,Noida,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/invedus.jpg,Data Scientist - Python/Pandas (3-7 yrs),Invedus Outsourcing Pvt. Ltd,4.8,9,"New Delhi, Ghaziabad, Jaipur
													+1 more",3-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/diverse-lynx.jpg,Data Scientist,Diverse Lynx,3.9,246,Pune,4-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/careernet-consulting.jpg,Principal Scientist - Machine Learning - IT (15-26 yrs),Careernet Consulting,3.7,340,Noida,15-26 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Quantzig - Data Scientist - Statistical Modeling (3-6 yrs),Quantzig,4.8,180,Bengaluru/Bangalore,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/diverse-lynx.jpg,Data Scientist,Diverse Lynx,3.9,246,Bengaluru/Bangalore,4-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/groww.jpg,Groww - Lead Data Scientist (6-10 yrs),Groww,4.0,168,Bengaluru/Bangalore,6-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/testbook-dot-com-168185.jpg,Testbook.com - Senior Data Scientist - Python (3-5 yrs),Testbook.com,3.7,458,Navi Mumbai,3-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/allegis-global-solutions.jpg,Data Scientist - IT (10-15 yrs),Allegis Global Solutions,3.6,196,"Bengaluru/Bangalore, Hyderabad/Secunderabad, Kolkata",10-15 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/madhees.jpg,Senior Data Scientist - Machine Learning (4-10 yrs),Madhees,4.4,20,"Hyderabad/Secunderabad, Bengaluru/Bangalore",4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/madhees.jpg,Data Scientist - R/Python (4-9 yrs),Madhees,4.4,20,Bengaluru/Bangalore,4-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/madhees.jpg,Marketing Data Scientist - Python/R/SQL (5-10 yrs),Madhees,4.4,20,Hyderabad/Secunderabad,5-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/sapiens.jpg,CogniTensor - Data Scientist (1-2 yrs),CHT Sapiense,3.6,321,Noida,1-2 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/perform-group.jpg,Data Scientist I,STATS PERFORM,4.4,13,Bengaluru/Bangalore,1-3 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/perform-group.jpg,Lead Data Scientist,STATS PERFORM,4.4,13,Bangalore / Bengaluru,6-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/allegis-global-solutions.jpg,Assistant Manager - Machine Learning - Model Development + Validation - BFSI (5-6 yrs),Allegis Global Solutions,3.6,196,Gurgaon/Gurugram,5-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/indifi-technologies-200801.jpg,Indifi - Data Scientist (2-4 yrs),Indifi,3.8,199,Gurgaon/Gurugram,2-4 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/purplle-dot-com-187344.jpg,Senior Data Scientist - Machine Learning (3-5 yrs),Purplle.com,3.8,209,Mumbai,3-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/madhees.jpg,Data Scientist - Machine/Deep Learning Algorithms (2-5 yrs),Madhees Techno Consulting Private Limited,4.4,20,Hyderabad/Secunderabad,2-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/madhees.jpg,Data Scientist - Time Series Forecasting (7-13 yrs),Madhees,4.4,20,"Hyderabad/Secunderabad, Pune",7-13 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/metyis.jpg,Data Scientist,Metyis India,3.3,18,"Bangalore / Bengaluru, Gurgaon / Gurugram",3-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/volody-products.jpg,Python Developer - Data Science (2-6 yrs),Volody Product INC,3.3,6,Mumbai,2-6 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Data Scientist - IT (5-15 yrs),WissenPro IT Solutions Pvt Ltd,4.9,7,Hyderabad/Secunderabad,5-15 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/mqsys-technologies.jpg,Data Scientist - Machine Learning (0-7 yrs),Msys Technologies,3.9,120,Bengaluru/Bangalore,0-7 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Data Scientist - NLP/Machine Learning (1-2 yrs),Netomi,4.3,27,Gurgaon/Gurugram,1-2 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/careernet-consulting.jpg,Staff Data Scientist - eCommerce Retail Domain (11-16 yrs),CareerNet Technologies,3.7,340,Bengaluru/Bangalore,11-16 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/innoplexus-5273.jpg,Senior Data Scientist,Innoplexus,3.9,184,Pune,6-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/saaki-argus-and-averil-consulting.jpg,Data Scientist - Statistical Modeling/Machine Learning (1-5 yrs),Saaki Argus & Averil Consulting,3.4,6,Chennai,1-5 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Data Scientist - Artificial Intelligence/Machine Learning (4-7 yrs),BRISKWIN IT SOLUTIONS PRIVATE LIMITED,3.3,10,Bangalore / Bengaluru,4-7 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Ganit - Data Scientist - IIT/IIM/ISB/MDI/FMS (3-6 yrs),Ganit Inc.,4.1,60,Chennai,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tredence.jpg,Tredence - Manager/Associate Manager - Customer Analytics (8-12 yrs),Tredence Analytics Solutions Private Limited,3.7,321,Not found,8-12 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/skillventory.jpg,Data Scientist (7-15 yrs),Skillventory,3.9,96,"Mumbai, Others",7-15 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/skillventory.jpg,Lead - Data Scientist - Internet/Online (8-15 yrs),Skillventory,3.9,96,"Mumbai, Andhra Pradesh, Hyderabad/Secunderabad",8-15 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tredence.jpg,Tredence - Associate Manager - Senior Data Scientist (5-8 yrs),Tredence Analytics Solutions Private Limited,3.7,321,"Bengaluru/Bangalore, Chennai, Pune
													+1 more",5-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tredence.jpg,Tredence - Manager - Data Science (7-10 yrs),Tredence Analytics Solutions Private Limited,3.7,321,"Bengaluru/Bangalore, Gurgaon/Gurugram, Pune
													+1 more",7-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tredence.jpg,Tredence - Senior Manager - Data Science (10-15 yrs),Tredence Analytics Solutions Private Limited,3.7,321,"Bengaluru/Bangalore, Pune, Gurgaon/Gurugram
													+1 more",10-15 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist (4-8 yrs),Decision Point,4.0,75,"Gurgaon/Gurugram, Chennai",4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point -  Senior Data Scientist (4-8 yrs),Decision Point,4.0,75,"Gurgaon/Gurugram, Chennai",4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/skillventory.jpg,Data Scientist - Model Validation & Governance (6-10 yrs),Skillventory,3.9,96,Mumbai,6-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/skillventory.jpg,Data Scientist - Supply Chain Management - IT/Logistics Firm (2-9 yrs),SkillVentory - A Leading Talent Research Firm,3.9,96,Mumbai,2-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist (3-6 yrs),Decision Point,4.0,75,"Gurgaon/Gurugram, Chennai",3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tredence.jpg,Tredence - Data Scientist/Senior Data Scientist (2-7 yrs),Tredence Analytics Pvt Ltd,3.7,321,"Bengaluru/Bangalore, Gurgaon/Gurugram, Chennai",2-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist (3-7 yrs),Decision Point,4.0,75,"Gurgaon/Gurugram, Chennai",3-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/emeritus-institute-of-management.jpg,Emeritus - Senior Data Scientist - Machine Learning (3-30 yrs),Emeritus,4.0,67,Mumbai,3-30 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/toppr.jpg,Toppr - Data Scientist (1-3 yrs),Toppr,3.5,699,"Hyderabad/Secunderabad, Others",1-3 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/stellapps-technologies-194641.jpg,Stellapps -  Manager - Data Science (5-10 yrs),Stellapps Technologies Private Limited,3.9,108,Bengaluru/Bangalore,5-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Data Scientist (2-5 yrs),Decision Point,4.0,75,Gurgaon/Gurugram,2-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist (2-6 yrs),Decision Point,4.0,75,"Chennai, Gurgaon/Gurugram",2-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Head - Data Engineering (6-10 yrs),Decision Point,4.0,75,Gurgaon/Gurugram,6-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist (3-7 yrs),Decision Point,4.0,75,Gurgaon/Gurugram,3-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/skillventory.jpg,Data Engineer/Big Data Engineer/Senior Data Scientist - Financial Planning (4-8 yrs),Skill Ventory,3.9,96,Bengaluru/Bangalore,4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/quovantis-technologies.jpg,Quovantis Technologies - Software Engineer - Python/Machine Learning/Deep Learning (2-6 yrs),Quovantis Technologies,4.1,43,Noida,2-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/decision-point.jpg,Decision Point - Senior Data Scientist - Machine Learning/Hadoop (2-7 yrs),Decision Point,4.0,75,Gurgaon/Gurugram,2-7 Yrs
